No ,Date & Year,Opponent,Venue,Result,Man of the match
55,01-May-11,Deccan Chargers ,Chennai ,Won by 19 runs,Morkel
56,04-May-11,Rajasthan Royals ,Chennai ,Won by 8 wickets,Hussey
57,07-May-11,Kolkata Knight Riders,Kolkata,Lost by 10 runs,Abdulla
58,09-May-11,Rajasthan Royals ,Jaipur,Won by 63 runs,Vijay
59,12-May-11,Delhi Daredevils ,Chennai ,Won by 18 runs,Dhoni 
60,18-May-11,Kochi Tuskers Kerala,Chennai ,Won by 11 runs,Saha
61,22-May-11,Royal Challangers Bangalore,Bangalore,Lost by 8 wickets ,Gayle
62,24-May-11,Royal Challangers Bangalore,Mumbai,Won by 6 wickets,Raina
63,28-May-11,Royal Challangers Bangalore,Chennai ,Won by 58 runs,Vijay
64,04-Apr-12,Mumbai Indians ,Chennai ,Lost by 8 wickets ,Levi
65,07-Apr-12,Deccan Chargers ,Vishakapatnam,Won by 74 runs,Jadeja
66,10-Apr-12,Delhi Daredevils ,Delhi,Lost by 8 wickets ,Morkel
67,12-Apr-12,Royal Challangers Bangalore,Chennai ,Won by 5 wickets,Faf
68,14-Apr-12,Pune Warriors India,Pune,Lost by 7 wickets ,Ryder
69,19-Apr-12,Pune Warriors India,Chennai ,Won 13 runs ,Kulasekara
70,21-Apr-12,Rajasthan Royals ,Chennai ,Won by7 wickets,Faf
71,25-Apr-12,Royal Challangers Bangalore,Bangalore,Match abandoned,Match abandoned
72,28-Apr-12,Kings Xl Punjab,Chennai ,Lost by 7 runs,Mandeep
73,30-Apr-12,Kolkata Knight Riders,Chennai ,Lost by 5 wickets ,Gambhir
74,04-May-12,Deccan Chargers ,Chennai ,Won by 10 runs,Raina
75,06-May-12,Mumbai Indians ,Mumbai,Lost by 2 wickets ,D Smith
76,10-May-12,Rajasthan Royals ,Jaipur,Won by 4 wickets ,Hilfenhaus
77,12-May-12,Delhi Daredevils ,Chennai ,Won by 9 wickets ,Hilfenhaus
78,14-May-12,Kolkata Knight Riders,Kolkata,Won by 5 wickets,Hussey
79,17-May-12,Kings Xl Punjab,Dharamsala,Lost by 7 wickets ,Gilchrist
80,23-May-12,Mumbai Indians ,Bangalore,Won by 38 runs,Dhoni 
81,25-May-12,Delhi Daredevils ,Chennai ,Won by 86 runs,Vijay
82,27-May-12,Kolkata Knight Riders,Chennai ,Lost by 5 wickets ,Bisla
83,06-Apr-13,Mumbai Indians ,Chennai ,Lost by 9 runs,Pollard
84,10-Apr-13,Kings Xl Punjab,Mohali,Won by 10 wickets,Hussey
85,13-Apr-13,Royal Challangers Bangalore,Chennai ,Won by 4 wickets ,Jadeja
86,15-Apr-13,Pune Warriors India,Chennai ,Lost by 24 runs,S Smith
87,18-Apr-13,Delhi Daredevils ,Delhi,Won by 86 runs,Hussey
88,20-Apr-13,Kolkata Knight Riders,Kolkata,Won by 4 wickets ,Jadeja
89,22-Apr-13,Rajasthan Royals ,Chennai ,Won by 5 wickets,Hussey
90,25-Apr-13,Sunrises Hyderabad,Chennai ,Won by 5 wickets,Dhoni 
91,28-Apr-13,Kolkata Knight Riders,Chennai ,Won by 14 runs,Hussey
92,30-Apr-13,Pune Warriors India,Pune,Won by 37 runs,Dhoni 
93,02-May-13,Kings Xl Punjab,Chennai ,Won by 15 runs,Raina
94,05-May-13,Mumbai Indians ,Mumbai,Lost by 60 runs,Johnson
